# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.398500	23.752080	11.081054	0.024218	0.006905	3.115055	0.000000	0.008430	0.000000	0.001814	-0.000005	0.000000	0.000000
0.797000	23.739470	11.089881	0.006634	-0.028688	3.118417	0.000000	0.008535	0.000000	0.001812	-0.000005	0.000000	0.000000
1.346398	23.336968	11.341241	0.721729	-0.431446	3.098352	0.000000	-0.081536	0.000000	0.001793	-0.000062	0.000000	0.000000
1.895796	22.171546	12.048963	1.387215	-0.864094	3.029146	0.000000	-0.170201	0.000000	0.001744	-0.000118	0.000000	0.000000
2.445194	20.323311	13.262076	1.957350	-1.356607	2.911994	0.000000	-0.255930	0.000000	0.001664	-0.000171	0.000000	0.000000
2.994593	17.919307	15.064621	2.392946	-1.943103	2.748916	0.000000	-0.337246	0.000000	0.001556	-0.000222	0.000000	0.000000
3.435711	16.064036	16.661760	1.827123	-1.663137	2.616510	0.000000	-0.263836	0.000000	0.001466	-0.000184	0.000000	0.000000
3.876830	14.671404	17.977541	1.341444	-1.308584	2.515872	0.000000	-0.193181	0.000000	0.001393	-0.000148	0.000000	0.000000
4.317948	13.679483	18.953691	0.915411	-0.896072	2.445888	0.000000	-0.124665	0.000000	0.001335	-0.000114	0.000000	0.000000
4.759067	13.044168	19.546973	0.530080	-0.443871	2.405781	0.000000	-0.057531	0.000000	0.001292	-0.000081	0.000000	0.000000
5.200185	12.737209	19.731111	0.168019	0.028468	2.395107	0.000000	0.009024	0.000000	0.001263	-0.000049	0.000000	0.000000
5.628756	12.608020	19.716026	0.133422	0.006730	2.398995	0.000000	0.009024	0.000000	0.001242	-0.000049	0.000000	0.000000
6.057328	12.508486	19.719573	0.098824	-0.015008	2.402884	0.000000	0.009024	0.000000	0.001221	-0.000049	0.000000	0.000000
6.485899	12.438607	19.741754	0.064227	-0.036746	2.406772	0.000000	0.009024	0.000000	0.001200	-0.000049	0.000000	0.000000
6.914471	12.398382	19.782567	0.029630	-0.058484	2.410661	0.000000	0.009024	0.000000	0.001179	-0.000049	0.000000	0.000000
7.343042	12.387812	19.842013	-0.004967	-0.080223	2.414549	0.000000	0.009024	0.000000	0.001158	-0.000049	0.000000	0.000000
7.771614	12.406897	19.920092	-0.039564	-0.101961	2.418437	0.000000	0.009024	0.000000	0.001137	-0.000049	0.000000	0.000000
8.200185	12.455635	20.016804	-0.074420	-0.123297	2.422326	0.000000	0.009074	0.000000	0.001115	-0.000049	0.000000	0.000000
8.641304	12.675991	19.912965	-0.426968	0.357820	2.441166	0.000000	0.076357	0.000000	0.001100	-0.000021	0.000000	0.000000
9.082422	13.214587	19.390100	-0.798501	0.823088	2.489834	0.000000	0.144486	0.000000	0.001097	0.000006	0.000000	0.000000
